worker_id,gender,english_first_language,age_group,education,mean_toxicity_score
85,female,0,18-30,bachelors,-0.13141683778234087
1617,female,0,45-60,bachelors,-0.08083140877598152
1394,female,0,,bachelors,-0.18588235294117647
311,male,0,30-45,bachelors,-0.08278867102396514
1980,male,0,45-60,masters,0.5829383886255924
1824,male,0,18-30,hs,0.36926605504587157
296,male,0,18-30,hs,0.035864978902953586
3937,male,0,30-45,professional,0.780952380952381
1512,female,0,30-45,masters,0.628175519630485
581,male,0,30-45,hs,-0.09743589743589744
3980,female,0,30-45,bachelors,0.25
5,male,0,18-30,professional,-0.07306889352818371
2832,female,1,30-45,some,0.702576112412178
178,male,0,30-45,masters,0.49760765550239233
1669,male,0,30-45,bachelors,0.1675531914893617
533,male,0,30-45,bachelors,0.3858267716535433
485,female,1,30-45,doctorate,0.31446540880503143
168,male,0,18-30,bachelors,-0.0021645021645021645
4060,male,0,30-45,hs,0.05714285714285714
1855,female,0,45-60,hs,0.5514018691588785
1226,male,1,18-30,bachelors,0.7377777777777778
469,male,0,30-45,bachelors,0.04631578947368421
947,male,0,18-30,bachelors,0.4309133489461358
50,male,0,30-45,hs,0.16142557651991615
3888,male,0,30-45,hs,0.4588235294117647
3852,female,0,18-30,professional,-0.004728132387706856
1812,male,0,18-30,bachelors,-0.08120649651972157
525,female,0,18-30,masters,-0.08149779735682819
263,male,0,18-30,hs,0.5940803382663847
1826,female,0,18-30,masters,0.46987951807228917
19,male,0,30-45,bachelors,0.11850311850311851
39,male,0,45-60,hs,0.07575757575757576
79,male,0,30-45,professional,-0.0970464135021097
3622,male,0,18-30,bachelors,0.0
351,male,0,30-45,professional,0.64
799,female,0,,masters,0.2383073496659243
144,female,1,18-30,bachelors,-0.01567398119122257
176,male,0,45-60,hs,0.3541666666666667
13,male,0,18-30,hs,0.022598870056497175
1550,male,0,18-30,professional,-0.10722610722610723
212,male,0,30-45,masters,0.27194860813704497
345,male,0,30-45,professional,0.5323529411764706
2738,male,1,18-30,bachelors,0.7990654205607477
544,male,0,18-30,hs,0.7681159420289855
98,female,0,30-45,hs,0.5132924335378323
126,female,0,45-60,bachelors,-0.34868421052631576
1756,female,0,18-30,bachelors,-0.006896551724137931
242,male,0,30-45,masters,-0.021231422505307854
3788,male,0,45-60,professional,-0.09813084112149532
1505,male,0,18-30,masters,-0.25
350,male,1,45-60,hs,0.4430379746835443
3221,male,0,,hs,0.4976958525345622
48,male,0,30-45,bachelors,0.6852248394004282
1521,male,1,18-30,bachelors,0.7595505617977528
845,female,0,45-60,hs,-0.05908096280087528
118,male,0,18-30,bachelors,0.6728395061728395
1773,male,0,18-30,bachelors,-0.06923076923076923
444,male,0,18-30,masters,-0.09583333333333334
1583,male,0,30-45,bachelors,-0.01871657754010695
423,male,1,18-30,professional,-0.29979035639413
3471,female,0,30-45,hs,0.4297520661157025
3554,male,0,18-30,hs,0.2222222222222222
685,male,0,18-30,hs,0.3375
1268,female,0,18-30,bachelors,0.4027027027027027
201,male,0,30-45,hs,-0.10251046025104603
1612,female,0,18-30,bachelors,0.6783369803063457
1266,male,0,18-30,professional,-0.0045662100456621
67,male,0,30-45,professional,0.06557377049180328
3099,female,0,30-45,hs,0.7037037037037037
774,female,0,18-30,hs,0.004273504273504274
1898,male,0,18-30,professional,0.021505376344086023
3691,female,0,30-45,doctorate,0.05542725173210162
3369,female,0,30-45,professional,-0.1813953488372093
1909,male,0,18-30,professional,-0.16666666666666666
807,male,1,18-30,professional,0.5076586433260394
3421,male,0,30-45,bachelors,0.1903323262839879
105,female,0,30-45,hs,0.4449152542372881
80,male,0,18-30,bachelors,0.0397489539748954
446,male,0,45-60,bachelors,0.05228758169934641
209,female,0,30-45,bachelors,0.06263498920086392
1666,female,0,18-30,bachelors,0.3282828282828283
445,male,0,45-60,hs,0.22559652928416485
2009,male,0,30-45,hs,-0.07373271889400922
1514,male,0,Under 18,hs,0.8032036613272311
517,male,0,45-60,hs,0.0706401766004415
2460,male,0,18-30,hs,0.546485260770975
1290,male,0,18-30,bachelors,-0.08932461873638345
114,female,0,45-60,professional,0.21153846153846154
1788,female,0,30-45,bachelors,0.0158311345646438
260,male,0,30-45,hs,0.5032119914346895
1242,male,0,18-30,professional,0.10222222222222223
12,male,1,30-45,bachelors,-0.023157894736842106
73,male,0,30-45,professional,0.18633540372670807
1960,male,0,30-45,bachelors,0.4045977011494253
3530,female,0,30-45,bachelors,0.5985915492957746
1503,male,0,18-30,bachelors,-0.17472118959107807
1022,male,0,18-30,doctorate,0.021834061135371178
238,male,0,45-60,masters,0.05844155844155844
1078,male,0,45-60,masters,-0.05909090909090909
243,female,0,18-30,hs,-0.17608695652173914
879,female,1,18-30,hs,0.4896373056994819
499,male,0,18-30,hs,0.02301255230125523
194,male,0,18-30,hs,-0.06739130434782609
770,male,0,30-45,hs,-0.00646551724137931
1815,female,0,30-45,bachelors,0.6153846153846154
449,male,0,18-30,bachelors,-0.0625
1305,male,0,18-30,hs,0.19863013698630136
285,female,0,30-45,professional,-0.041237113402061855
2663,female,0,18-30,masters,0.016355140186915886
3571,female,1,18-30,masters,0.053738317757009345
2071,male,0,18-30,hs,0.009153318077803204
157,male,0,18-30,hs,-0.09090909090909091
694,male,0,18-30,hs,-0.10300429184549356
2055,male,0,18-30,hs,-0.13270142180094788
467,male,0,18-30,some,-0.09907120743034056
147,female,0,Under 18,hs,-0.06378600823045268
409,male,0,18-30,bachelors,-0.0196078431372549
86,female,0,18-30,professional,0.20668058455114824
511,male,0,18-30,bachelors,0.6558441558441559
3423,male,1,18-30,bachelors,0.25
2514,female,1,30-45,bachelors,0.02894736842105263
2246,male,0,18-30,some,-0.07746478873239436
477,female,1,30-45,hs,0.5285412262156448
2015,male,0,,hs,-0.14772727272727273
597,male,0,45-60,hs,0.26247288503253796
1694,female,0,30-45,bachelors,0.5632183908045977
649,male,0,30-45,bachelors,0.2964705882352941
70,male,1,30-45,bachelors,-0.041928721174004195
435,male,0,30-45,hs,0.4170305676855895
1816,male,1,30-45,bachelors,0.0
287,female,0,18-30,masters,0.7029914529914529
447,male,0,18-30,hs,0.3533190578158458
18,male,0,18-30,hs,0.0967741935483871
2786,female,0,45-60,bachelors,0.0660377358490566
540,male,0,30-45,hs,0.40169133192389006
3756,female,1,30-45,bachelors,0.3056872037914692
2136,female,0,30-45,professional,0.0412621359223301
1648,male,0,18-30,bachelors,-0.14855875831485588
619,male,0,18-30,professional,0.5730593607305936
442,male,0,18-30,bachelors,0.2670807453416149
3851,female,1,18-30,bachelors,0.28837209302325584
2177,male,0,30-45,hs,0.5080091533180778
1936,male,0,18-30,hs,0.6912442396313364
3026,male,0,18-30,doctorate,0.8325581395348837
125,male,0,30-45,hs,0.0861344537815126
74,male,1,18-30,bachelors,0.726890756302521
64,male,1,30-45,bachelors,0.22687224669603523
716,male,0,18-30,hs,0.3438202247191011
1633,male,0,30-45,bachelors,0.8018433179723502
974,male,1,18-30,bachelors,-0.0743801652892562
699,female,0,18-30,bachelors,0.42637362637362636
1783,male,1,18-30,hs,0.6620370370370371
2930,female,0,45-60,professional,-0.060324825986078884
1854,female,0,18-30,professional,-0.2391304347826087
362,male,0,30-45,bachelors,-0.0255863539445629
1379,female,0,30-45,bachelors,-0.10561797752808989
557,male,0,18-30,hs,0.5711111111111111
40,male,0,30-45,hs,0.5420353982300885
1900,female,1,18-30,masters,0.03953488372093023
1840,female,0,30-45,bachelors,0.03773584905660377
538,male,0,30-45,bachelors,0.7155172413793104
1570,male,0,30-45,professional,0.5950226244343891
3091,female,0,45-60,hs,-0.1883720930232558
69,male,0,30-45,hs,0.6116071428571429
1382,male,0,18-30,bachelors,-0.07865168539325842
1236,male,0,18-30,hs,0.7959183673469388
1181,male,0,45-60,some,0.375
3576,male,1,18-30,bachelors,-0.00936768149882904
81,male,0,18-30,hs,0.15844155844155844
136,female,0,30-45,hs,0.6103896103896104
751,female,0,18-30,bachelors,-0.0650759219088937
305,male,0,18-30,bachelors,0.6266094420600858
643,male,0,18-30,some,0.4778761061946903
44,male,0,30-45,professional,-0.09977827050997783
1698,female,0,30-45,bachelors,0.0056179775280898875
1748,male,1,30-45,masters,0.2780373831775701
1957,male,0,18-30,masters,0.1359447004608295
210,male,0,18-30,bachelors,0.04602510460251046
325,male,0,30-45,masters,0.5411255411255411
2475,male,0,18-30,bachelors,0.06864988558352403
742,male,0,18-30,masters,0.6044444444444445
3579,female,0,45-60,professional,0.5316455696202531
3892,male,1,30-45,bachelors,-0.06279069767441861
2936,female,1,45-60,hs,-0.1937984496124031
2711,female,0,18-30,bachelors,0.2383177570093458
186,male,0,18-30,bachelors,0.4782608695652174
642,male,0,18-30,bachelors,-0.11864406779661017
1338,male,0,18-30,bachelors,0.6575963718820862
645,male,0,18-30,hs,0.9349775784753364
632,male,0,18-30,bachelors,0.11555555555555555
639,female,0,18-30,masters,-0.31322505800464034
550,female,0,30-45,masters,0.609375
883,male,1,30-45,bachelors,0.645021645021645
123,female,0,18-30,bachelors,0.4307692307692308
1430,female,1,18-30,bachelors,-0.10141509433962265
1829,male,0,30-45,bachelors,0.11832946635730858
636,female,0,30-45,bachelors,0.5647321428571429
2156,female,0,30-45,masters,0.08222811671087533
628,male,0,18-30,professional,-0.0830945558739255
994,male,1,30-45,masters,0.6457883369330454
328,female,0,30-45,bachelors,-0.002079002079002079
1546,female,0,18-30,professional,-0.12442396313364056
625,male,0,18-30,masters,0.06775700934579439
1798,male,0,18-30,hs,0.4496487119437939
425,male,0,45-60,hs,-0.028953229398663696
323,female,0,30-45,bachelors,-0.2103960396039604
2693,male,0,18-30,hs,0.0675990675990676
1588,male,0,30-45,professional,-0.056074766355140186
2354,male,1,30-45,hs,-0.07674418604651163
230,male,0,30-45,hs,0.6313559322033898
2450,male,0,18-30,hs,0.5196304849884527
302,male,0,45-60,hs,0.5614406779661016
2321,male,0,18-30,bachelors,0.6988505747126437
691,male,0,18-30,masters,0.006696428571428571
2688,female,0,18-30,bachelors,-0.0022988505747126436
134,male,0,18-30,bachelors,-0.0898876404494382
1397,female,0,30-45,bachelors,0.1396011396011396
2476,male,0,18-30,bachelors,0.14482758620689656
662,male,0,18-30,bachelors,0.6065989847715736
646,female,0,30-45,bachelors,0.0420353982300885
4141,female,0,30-45,hs,-0.0645933014354067
2901,male,0,30-45,masters,0.4906976744186046
934,male,0,30-45,professional,-0.17035398230088494
2141,female,1,30-45,bachelors,0.04597701149425287
265,female,0,18-30,masters,-0.022774327122153208
347,male,0,30-45,bachelors,-0.06770833333333333
2391,female,0,30-45,bachelors,0.0
276,male,0,30-45,hs,-0.04602510460251046
1032,male,0,30-45,hs,0.22417582417582418
2432,female,0,18-30,some,0.7665094339622641
2162,male,0,18-30,hs,0.17848970251716248
1113,male,0,18-30,masters,0.006711409395973154
891,female,0,18-30,bachelors,0.10256410256410256
800,male,0,30-45,bachelors,0.728448275862069
651,male,0,18-30,bachelors,-0.06638115631691649
492,male,1,45-60,bachelors,-0.14823008849557523
1179,female,0,30-45,some,-0.05726872246696035
2014,male,0,18-30,bachelors,-0.013953488372093023
3156,female,1,18-30,masters,0.5710955710955711
903,male,0,18-30,professional,0.5887850467289719
200,male,0,30-45,professional,0.05639913232104121
1995,male,0,30-45,masters,0.1382488479262673
926,male,0,18-30,bachelors,-0.03253796095444685
515,male,1,18-30,hs,0.19642857142857142
101,male,0,18-30,masters,0.47649572649572647
494,male,0,30-45,bachelors,0.06832298136645963
466,male,0,18-30,hs,0.36058700209643607
3291,male,0,45-60,professional,-0.2202247191011236
634,female,0,30-45,masters,-0.1111111111111111
1073,male,1,30-45,hs,-0.042222222222222223
121,male,0,18-30,bachelors,0.3574468085106383
1603,male,0,18-30,masters,-0.07551487414187644
2124,female,0,30-45,masters,0.24107142857142858
3160,male,0,45-60,bachelors,0.6164705882352941
2268,male,0,30-45,masters,0.7076566125290024
626,male,0,18-30,hs,-0.0851063829787234
1641,male,0,18-30,hs,-0.06407322654462243
652,male,0,30-45,bachelors,0.20905172413793102
997,male,0,18-30,some,0.5615212527964206
3132,female,1,30-45,bachelors,0.38596491228070173
1513,female,0,18-30,bachelors,0.21462264150943397
719,male,1,30-45,hs,-0.1111111111111111
2207,male,0,45-60,hs,-0.10185185185185185
191,female,0,30-45,hs,-0.14967462039045554
929,female,0,18-30,bachelors,-0.06666666666666667
374,male,0,18-30,doctorate,0.03296703296703297
3285,male,1,30-45,bachelors,-0.1372093023255814
2889,female,0,30-45,bachelors,0.054373522458628844
653,male,0,18-30,bachelors,-0.11019283746556474
1998,male,0,30-45,hs,0.5787037037037037
1646,male,0,30-45,masters,0.8318181818181818
158,male,0,18-30,bachelors,-0.01935483870967742
1814,male,0,30-45,bachelors,0.5294117647058824
43,male,0,18-30,bachelors,0.6196319018404908
545,male,0,18-30,masters,0.3807531380753138
2235,female,0,30-45,hs,0.23094688221709006
1528,male,0,18-30,professional,-0.05463182897862233
1885,female,0,18-30,hs,-0.14823529411764705
2178,male,1,18-30,bachelors,0.8888888888888888
3125,female,0,30-45,bachelors,-0.16397228637413394
234,female,0,30-45,professional,-0.09791666666666667
644,male,0,18-30,hs,-0.04772727272727273
181,male,0,30-45,bachelors,0.19750519750519752
560,male,1,18-30,bachelors,-0.11637931034482758
1487,female,0,30-45,bachelors,0.2777777777777778
3676,female,0,45-60,hs,0.02588235294117647
4076,female,1,30-45,masters,-0.2857142857142857
839,male,0,18-30,bachelors,0.5495689655172413
4021,male,0,30-45,hs,-0.09832134292565947
3440,male,1,18-30,bachelors,0.288135593220339
4184,female,0,18-30,hs,0.14925373134328357
605,female,0,30-45,some,0.40444444444444444
1893,male,0,30-45,professional,-0.046296296296296294
468,female,0,30-45,bachelors,0.36152219873150104
629,female,0,30-45,hs,0.4372093023255814
1451,male,0,30-45,bachelors,0.27149321266968324
